,open,high,low,close,AVWAP,BLR,Bullish Breakout Zone,Bearish Breakout Zone,Volume,RSI,RSI EMA,DI+,DI-,id,col,size,entry_idx,entry_price,entry_fees,exit_idx,exit_price,exit_fees,pnl,return,direction,status,parent_id
18759,44621.3,44630.85,44608.5,44628.7,44115.13575,44512.2127,44742.116,44589.9488,1211543,72.48973901,58.56571676,26.45738854,18.08648647,,,,,,,,,,,,,,
18760,44628.65,44632.95,44613.7,44620.25,44116.34857,44515.9547,44742.116,44589.9488,1403293,72.96108975,58.98857259,25.83809344,17.36609427,,,,,,,,,,,,,,
18761,44619.85,44663.85,44614.4,44655.65,44117.51851,44521.67162,44742.116,44589.9488,1302431,77.10389811,59.5413901,29.47559961,15.64247796,,,,,,,,,,,,,,
18762,44655.95,44675.2,44650.75,44663.4,44119.26274,44528.16335,44742.116,44589.9488,1886177,81.9877414,60.27592837,30.32620544,14.85728715,,,,,,,,,,,,,,
18763,44664.8,44686.6,44658.75,44680.85,44120.39725,44535.99017,44742.116,44589.9488,1206051,83.91457054,61.06321783,30.94146422,13.99552042,,,,,,,,,,,,,,
18764,44679.7,44690.8,44649.75,44651.1,44122.11676,44541.70934,44742.116,44589.9488,1876417,79.78599193,61.6902601,28.33283206,14.66400025,,,,,,,,,,,,,,
18765,44648.1,44668.25,44638.85,44665.45,44123.19386,44548.10972,44742.116,44589.9488,1195550,69.81557283,61.99314606,26.60293453,16.03232231,,,,,,,,,,,,,,
18766,44666.95,44681.65,44658.8,44680.3,44124.30966,44554.62342,44742.116,44589.9488,1207218,74.54770677,62.45065468,28.16071452,15.25284273,,,,,,,,,,,,,,
18767,44679.55,44684.2,44667.55,44673.75,44125.62185,44560.28619,44742.116,44589.9488,1421889,75.65860133,62.92400302,27.68864327,14.69229741,,,,,,,,,,,,,,
18768,44674.75,44704.8,44665.45,44695.2,44126.79491,44567.03596,44742.116,44589.9488,1246609,77.86093708,63.45600297,29.79810488,13.43559611,,,,,,,,,,,,,,
18769,44696.3,44698.6,44653.85,44657.15,44127.85666,44571.4692,44742.116,44589.9488,1171727,70.82612068,63.74601191,26.9725877,14.61956231,,,,,,,,,,,,,,
18770,44656.1,44661.0,44634.25,44642.95,44128.8254,44574.54535,44742.116,44589.9488,1122477,53.22405317,63.42161107,25.4208618,17.99376575,,,,,,,,,,,,,,
18771,44642.05,44649.3,44617.25,44649.3,44129.72736,44576.65742,44742.116,44589.9488,1064239,48.77603613,62.94648506,23.6642565,20.41563989,,,,,,,,,,,,,,
18772,44646.3,44668.35,44641.95,44657.85,44130.89322,44579.39075,44742.116,44589.9488,1335373,55.30443496,62.7004891,26.46518959,19.23648664,,,,,,,,,,,,,,
18773,44656.55,44699.8,44655.0,44696.6,44136.14845,44584.33763,44742.116,44589.9488,5784874,63.86963274,62.760053,30.64082919,17.39989481,,,,,,,,,,,,,,
18774,44698.4,44712.9,44687.95,44706.75,44139.11291,44590.09717,44742.116,44589.9488,3202339,70.53179437,63.07087199,31.8250013,16.45751008,,,,,,,,,,,,,,
18775,44706.85,44725.2,44705.95,44707.0,44141.78593,44594.44089,44742.116,44589.9488,2864524,72.77791801,63.45483554,33.20609609,15.74879165,,,,,,,,,,,,,,
18776,44707.3,44731.15,44706.75,44718.65,44142.95525,44599.11973,44742.116,44589.9488,1248108,73.86125595,63.86036989,32.71636602,14.87442506,,,,,,,,,,,,,,
18777,44721.1,44735.6,44711.15,44725.75,44144.94373,44603.47288,44742.116,44589.9488,2114559,75.58631546,64.31229936,31.89583396,14.03363016,,,,,,,,,,,,,,
18778,44723.65,44758.45,44722.9,44750.25,44147.87781,44610.32895,44742.116,44589.9488,3042743,78.84167708,64.87569684,34.52875152,12.89250661,,,,,,,,,,,,,,
18779,44749.7,44754.7,44728.05,44737.05,44150.32414,44615.58552,44742.116,44589.9488,2577008,79.55072902,65.43684938,32.40172427,12.09830724,309.0,0.0,0.0024925330828515996,18777.0,44737.05,0.0,18786.0,44734.3,0.0,-0.006854465977838231,-6.147030257914924e-05,0.0,1.0,309.0
18780,44735.75,44765.55,44716.85,44736.0,44152.9536,44620.07349,44742.116,44589.9488,2796085,76.44617924,65.86517246,28.8983851,13.27679802,,,,,,,,,,,,,,
18781,44739.95,44770.6,44722.3,44744.55,44154.52271,44625.20502,44742.116,44589.9488,1662472,77.91484197,66.32585285,26.98904517,11.90228953,,,,,,,,,,,,,,
18782,44748.25,44771.15,44726.7,44749.8,44157.379,44629.75564,44742.116,44589.9488,3031492,79.08238824,66.80556544,24.59269756,10.79471127,,,,,,,,,,,,,,
18783,44752.35,44772.3,44740.5,44765.75,44158.96994,44636.55431,44742.116,44589.9488,1672073,81.19795842,67.34302386,23.18942219,10.07256677,,,,,,,,,,,,,,
18784,44767.65,44787.1,44757.7,44769.25,44161.07011,44643.90483,44742.116,44589.9488,2177815,83.86290699,67.96513363,24.88491095,9.443562175,,,,,,,,,,,,,,
